name,lat,lon
Hvidovre st,55.6645104792818,12.4743459816788
Taastrup st,55.6525462051598,12.3021347978538
Albertslund st,55.6580403519915,12.3531235427685
Glostrup st,55.6631483484064,12.3978270360501
Valby st,55.6639968410191,12.5144497936073
Enghave st,55.6634474270362,12.5394858698214
København H,55.6730614751946,12.5657966709911
Dybbølsbro st,55.6648278338763,12.5595111645876
Sorgenfri st,55.7812550331877,12.4835422211462
Fuglebakken st,55.6954288254022,12.5273818321788
Grøndal st,55.6907381225251,12.5160073547775
Nørrebro st,55.7008472757173,12.5378059232498
Ryparken st,55.7153619289076,12.5594915485368
Vesterport st,55.6760106945238,12.5620871728117
Nørreport st,55.6830528404156,12.5713063195675
Østerport st,55.6926606768133,12.5877840519888
Nordhavn st,55.7056160527932,12.5906127048722
Svanemøllen st,55.7155504131477,12.5780494831281
Hellerup st,55.7310220788207,12.5676584794374
Charlottenlund st,55.7518512897275,12.5721444745897
Ordrup st,55.7630703375598,12.5836491679276
Klampenborg st,55.7774458601238,12.587729917516
Bernstorffsvej st,55.7430515015769,12.5574879453674
Gentofte st,55.7535091011885,12.5416200522429
Jægersborg st,55.761621114895,12.5215611536005
Lyngby st,55.7680836405337,12.5031005625904
Virum st,55.7956062137611,12.4733489391256
Holte st,55.8076746342654,12.4688208126945
Birkerød st,55.8405083678198,12.4240180731165
Brøndbyøster st,55.665068425431,12.440210794811
Rødovre st,55.6648196427809,12.4586411797635
Allerød st,55.8709827546035,12.3570447809922
Hillerød st,55.9269233246794,12.3109284215726
Emdrup st,55.7208874482028,12.5406868797465
Vangede st,55.7396576150558,12.5233421143952
Buddinge st,55.7473828454107,12.4940379316341
Stengården st,55.7565343710854,12.473188160065
Bagsværd st,55.761871658624,12.4535542427187
Skovbrynet st,55.7651726247414,12.4320295190896
Hareskov st,55.7660225360112,12.4060289836114
Værløse st,55.7820340222742,12.3731886571177
Farum st,55.8120274447408,12.3735338507901
Langgade st,55.667049949762,12.5042242135794
Peter Bangs Vej st,55.6785904485583,12.5034429995265
Vanløse st,55.6873546760411,12.4906029158722
Islev st,55.6995287348017,12.4693831939691
Husum st,55.7094086206889,12.4640328366353
Herlev st,55.7189191417014,12.4436738173444
Skovlunde st,55.7227634744849,12.4035330008736
Ballerup st,55.7298706529416,12.3583440803105
Måløv st,55.747484585542,12.3183186475104
Veksø st,55.7502113574823,12.2384314938637
Stenløse st,55.7663786182775,12.1906078771851
Ølstykke st,55.7956407245902,12.1597119835088
Frederikssund st,55.8358089935593,12.0656358116696
Jyllingevej st,55.6908103227143,12.477205847446
Flintholm st,55.6854346795649,12.4986601371332
Bispebjerg st,55.7063476628424,12.5416317073289
KB Hallen st,55.6779634090945,12.492327534117
Ålholm st,55.672330308903,12.4931138989765
Danshøj st,55.6642742902961,12.4937316811136
Malmparken st,55.7246323803226,12.3860281212472
Sydhavn st,55.6547562547937,12.5371740316662
Sjælør st,55.6517418447097,12.5272651605538
Åmarken st,55.6400786663489,12.4996988746451
Friheden st,55.6288870838912,12.4825532147474
Avedøre st,55.6251832828179,12.4542560407
Brøndby Strand st,55.6209358207159,12.4226597956498
Vallensbæk st,55.6232534017291,12.3884443199793
Ishøj st,55.6133848531197,12.3579336004536
Hundige st,55.5974486524098,12.3333873797647
Greve st,55.5812174644445,12.2955992126574
Karlslunde st,55.5662901766364,12.2688510821882
Dyssegård st,55.7326291911701,12.53574328416
Kildebakke st,55.7446135431432,12.5085346098149
Ny Ellebjerg st,55.6523866938965,12.5154599449178
Solrød Strand st,55.5333177841629,12.2180635766763
Jersie st,55.5206858392201,12.2084739386469
Ølby st,55.4797505860856,12.175762032257
Høje Taastrup st,55.6487954045996,12.2693200222568
Køge st,55.4575473722657,12.1863328890783
Vigerslev Alle st,55.6598980027353,12.4986856258844
Kildedal st,55.7519515258874,12.2866234769663
Gl. Toftegård st,55.7799523514852,12.1854805373514
